sport_id,label,direct_med_dist,via_stop_dist,nearest_stop_dist
2601918704.0,red,,,
2601918707.0,red,,,
2601918709.0,red,,,
2601923506.0,red,,,
2601923507.0,red,,,
2721623429.0,red,,,
2721624487.0,red,,,
2721624974.0,red,,,
2721624991.0,red,,,
2721625013.0,red,,,
2721625017.0,red,,,
2721625053.0,red,,,
2721625254.0,red,,,
2721625549.0,red,,,
2721625552.0,red,,,
2721625554.0,red,,,
2721625605.0,red,,,
2721625644.0,red,,,
2721625662.0,red,,,
2721625816.0,red,,,
2721625849.0,red,,,
2721738538.0,red,,,
2721738723.0,red,,,
2721738800.0,red,,,
2721738816.0,red,,,
2721738939.0,red,,,
2721738997.0,red,,,
2721739003.0,red,,,
2721739198.0,red,,,
2721739199.0,red,,,
2721739255.0,red,,,
2721739611.0,red,,,
2721739691.0,red,,,
2721739776.0,red,,,
2721739802.0,red,,,
2721739902.0,red,,,
2721739924.0,red,,,
2721740230.0,red,,,
2721740276.0,red,,,
2721740358.0,red,,,
2721740583.0,red,,,
2721740603.0,red,,,
2721740607.0,red,,,
2721740620.0,red,,,
2721740625.0,red,,,
2721740629.0,red,,,
2721740633.0,red,,,
2721740636.0,red,,,
2721740640.0,red,,,
2721740656.0,red,,,
2721740685.0,red,,,
2721740712.0,red,,,
2721740721.0,red,,,
2721740725.0,red,,,
2721740726.0,red,,,
2721740751.0,red,,,
2721740770.0,red,,,
2721740774.0,red,,,
2721740779.0,red,,,
2721740787.0,red,,,
2721740791.0,red,,,
2721740793.0,red,,,
2721740799.0,red,,,
2721740848.0,red,,,
2721740922.0,red,,,
2721740940.0,red,,,
2721740953.0,red,,,
2721740955.0,red,,,
2721740961.0,red,,,
2721740991.0,red,,,
2721741006.0,red,,,
2721741014.0,red,,,
2721741019.0,red,,,
2721741028.0,red,,,
2721741106.0,red,,,
2721741107.0,red,,,
2721741636.0,red,,,
2721741639.0,red,,,
2721741641.0,red,,,
2721741651.0,red,,,
2721741652.0,red,,,
2721741653.0,red,,,
2721741655.0,red,,,
2721741824.0,red,,,
2721741844.0,red,,,
2721741847.0,red,,,
2721741913.0,red,,,
2721741914.0,red,,,
2721741915.0,red,,,
2721741941.0,red,,,
2721741987.0,red,,,
2721742106.0,red,,,
2721742135.0,red,,,
2721742248.0,red,,,
2721742365.0,red,,,
2721742480.0,red,,,
2721742499.0,red,,,
2721742517.0,red,,,
2721742538.0,red,,,
2721742599.0,red,,,
2721742625.0,red,,,
2721742686.0,red,,,
2721742717.0,red,,,
2721742739.0,red,,,
2721742762.0,red,,,
2721742778.0,red,,,
2721742829.0,red,,,
2721742845.0,red,,,
2721742882.0,red,,,
2721743044.0,red,,,
2721743048.0,red,,,
2721743059.0,red,,,
2721743129.0,red,,,
2721743213.0,red,,,
2721743234.0,red,,,
2721743255.0,red,,,
2721743316.0,red,,,
2721743356.0,red,,,
2721743364.0,red,,,
2721743367.0,red,,,
2721743370.0,red,,,
2721743391.0,red,,,
2721743393.0,red,,,
2721743395.0,red,,,
2721743397.0,red,,,
2721743410.0,red,,,
2721743426.0,red,,,
2721743441.0,red,,,
2721743447.0,red,,,
2721743450.0,red,,,
2721743456.0,yellow,,716.16587338383,228.2815491381893
2721743458.0,red,,,
2721743459.0,red,,,
2721743461.0,red,,,
2721743477.0,red,,,
2721743482.0,red,,,
2721743512.0,red,,,
2721743540.0,red,,,
2721743553.0,red,,,
2721743576.0,red,,,
2721743594.0,red,,,
2721743606.0,red,,,
2721743607.0,red,,,
2721743611.0,red,,,
2721743616.0,red,,,
2721743645.0,red,,,
2721743666.0,red,,,
2721743672.0,red,,,
2721743691.0,red,,,
2721743709.0,red,,,
2721743757.0,red,,,
2721743762.0,red,,,
2721743784.0,red,,,
2721743793.0,red,,,
2721743795.0,red,,,
2721743798.0,red,,,
2721743825.0,red,,,
2721743835.0,red,,,
2721743852.0,red,,,
2721743878.0,red,,,
2721743903.0,red,,,
2721743932.0,red,,,
2721743933.0,red,,,
2721743936.0,red,,,
2721743937.0,red,,,
2721743976.0,red,,,
2721743986.0,red,,,
2721744001.0,red,,,
2721744033.0,red,,,
2721744043.0,red,,,
2721744072.0,red,,,
2721744074.0,red,,,
2721744098.0,red,,,
2721744141.0,red,,,
2721744156.0,red,,,
2721744166.0,red,,,
2721744176.0,red,,,
2721744181.0,red,,,
2721744186.0,red,,,
2721744191.0,red,,,
2721744199.0,red,,,
2721744204.0,red,,,
2721744210.0,red,,,
2721744216.0,red,,,
2721744219.0,red,,,
2721744243.0,red,,,
2721744254.0,red,,,
